Permalink BSG	Kurztitel
http://permalink.snl.ch/bib/chbsg000136647	Escher 1937
http://permalink.snl.ch/bib/chbsg000137127	Escher, Rechnungen
http://permalink.snl.ch/bib/chbsg000135550	Escher/Wachter 1917
http://permalink.snl.ch/bib/chbsg000135235	Etter 1955
http://permalink.snl.ch/bib/chbsg000137909	Etter 1968
http://permalink.snl.ch/bib/chbsg000082382	Etter 1987
http://permalink.snl.ch/bib/chbsg000151172	Eubel 1913-1978
http://permalink.snl.ch/bib/chbsg000062147	Eugster 1991
http://permalink.snl.ch/bib/chbsg000113991	Eugster 1991a
http://permalink.snl.ch/bib/chbsg000138196	Eugster 1995
http://permalink.snl.ch/bib/chbsg000138197	Eugster 1995a
http://permalink.snl.ch/bib/chbsg000138198	Eugster 1995b
http://permalink.snl.ch/bib/chbsg000007513	Eugster 1999
http://permalink.snl.ch/bib/chbsg000151001	Eugster 2002
http://permalink.snl.ch/bib/chbsg991001220742603977	Exenberger et al. 2015
http://permalink.snl.ch/bib/chbsg000138619	Fabian 1974
http://permalink.snl.ch/bib/chbsg000135002	Faesch 1931
http://permalink.snl.ch/bib/chbsg991001194749703977	Faggion et al. 2008
http://permalink.snl.ch/bib/chbsg000142296	Farel 1930
http://permalink.snl.ch/bib/chbsg000136570	Farner 1899
http://permalink.snl.ch/bib/chbsg000136593	Farner 1906
http://permalink.snl.ch/bib/chbsg000141404	Favarger 1966
http://permalink.snl.ch/bib/chbsg000141406	Favarger 1967
http://permalink.snl.ch/bib/chbsg000141419	Favarger 1970
http://permalink.snl.ch/bib/chbsg000141434	Favarger 1970a
http://permalink.snl.ch/bib/chbsg000142397	Favarger 1970b
http://permalink.snl.ch/bib/chbsg000141435	Favarger 1972
http://permalink.snl.ch/bib/chbsg000141484	Favarger 1972a
http://permalink.snl.ch/bib/chbsg000075329 ; http://permalink.snl.ch/bib/chbsg000141486	Favarger 1976
http://permalink.snl.ch/bib/chbsg000138828	FDS TI A 1
http://permalink.snl.ch/bib/chbsg000138829	FDS TI C 1
http://permalink.snl.ch/bib/chbsg000139904	Feer 1964
http://permalink.snl.ch/bib/chbsg000072065	Feger, Chronik
http://permalink.snl.ch/bib/chbsg000142595	Felder 1911
http://permalink.snl.ch/bib/chbsg000074530	Félix 1986
http://permalink.snl.ch/bib/chbsg991001201449403977	Félix 1999
http://permalink.snl.ch/bib/chbsg000138607	Fiez 1932
http://permalink.snl.ch/bib/chbsg000143331	Figi 1951
http://permalink.snl.ch/bib/chbsg000073897	Flouck et al. 1998 ; Kamber dans Flouck et al 1998
http://permalink.snl.ch/bib/chbsg000138610	Forrer, Waldmannsche Spruchbriefe
http://permalink.snl.ch/bib/chbsg991001173948503977	Franco 2012
http://permalink.snl.ch/bib/chbsg000084099	Frascoli 1997
http://permalink.snl.ch/bib/chbsg000111632	Frei 1993
http://permalink.snl.ch/bib/chbsg000043695	Frei 2004
http://permalink.snl.ch/bib/chbsg000047171	Frei 2006
http://permalink.snl.ch/bib/chbsg000127129	Frei 2011
http://permalink.snl.ch/bib/chbsg000117031	Frei/Klee 2010
